Frame_410nm,MeanInt_410nm,Time_410nm,Realtime_410nm,Frame_470nm,MeanInt_470nm,Time_470nm,Realtime_470nm
588,1023.227994,29.4,15:20.9,587,929.8361226,29.35,15:20.8
590,1023.631384,29.5,15:21.0,589,927.6939796,29.45,15:20.9
592,1023.624429,29.6,15:21.1,591,928.3755705,29.55,15:21.0
594,1023.429689,29.7,15:21.2,593,927.1793088,29.65,15:21.1
596,1023.631384,29.8,15:21.3,595,928.1530102,29.75,15:21.2
598,1023.568789,29.9,15:21.4,597,927.3531841,29.85,15:21.3
600,1023.436644,30,15:21.5,599,927.7078896,29.95,15:21.4
602,1023.311454,30.1,15:21.6,601,927.6452945,30.05,15:21.5
604,1023.339274,30.2,15:21.7,603,927.0888937,30.15,15:21.6
606,1023.714845,30.3,15:21.8,605,928.0486851,30.25,15:21.7
608,1023.513149,30.4,15:21.9,607,928.8902413,30.35,15:21.8
610,1023.457509,30.5,15:22.0,609,927.5340143,30.45,15:21.9
612,1023.255814,30.6,15:22.1,611,928.7511411,30.55,15:22.0
614,1023.506194,30.7,15:22.2,613,928.7720061,30.65,15:22.1
616,1023.659205,30.8,15:22.3,615,928.3060204,30.75,15:22.2
618,1023.332319,30.9,15:22.4,617,928.5424908,30.85,15:22.3
620,1023.73571,31,15:22.5,619,930.142143,30.95,15:22.4
622,1023.374049,31.1,15:22.6,621,930.0865029,31.05,15:22.5
624,1023.659205,31.2,15:22.7,623,930.823734,31.15,15:22.6
626,1023.540969,31.3,15:22.8,625,930.121278,31.25,15:22.7
628,1023.513149,31.4,15:22.9,627,929.6900674,31.35,15:22.8
630,1023.436644,31.5,15:23.0,629,929.9613128,31.45,15:22.9
632,1023.756575,31.6,15:23.1,631,930.9697892,31.55,15:23.0
634,1023.94436,31.7,15:23.2,633,931.8878505,31.65,15:23.1
636,1023.582699,31.8,15:23.3,635,929.6970224,31.75,15:23.2
638,1023.68007,31.9,15:23.4,637,930.7541839,31.85,15:23.3
640,1023.596609,32,15:23.5,639,930.6568137,31.95,15:23.4
642,1023.798305,32.1,15:23.6,641,929.7596175,32.05,15:23.5
644,1023.534014,32.2,15:23.7,643,930.9558792,32.15,15:23.6
646,1023.673115,32.3,15:23.8,645,930.4898935,32.25,15:23.7
648,1023.826125,32.4,15:23.9,647,931.2827646,32.35,15:23.8
650,1023.659205,32.5,15:24.0,649,930.9280591,32.45,15:23.9
652,1023.631384,32.6,15:24.1,651,929.9613128,32.55,15:24.0
654,1023.700935,32.7,15:24.2,653,929.7735275,32.65,15:24.1
656,1023.68007,32.8,15:24.3,655,930.2603782,32.75,15:24.2
658,1023.561834,32.9,15:24.4,657,930.6220387,32.85,15:24.3
660,1023.631384,33,15:24.5,659,928.3547055,32.95,15:24.4
662,1023.499239,33.1,15:24.6,661,932.0825907,33.05,15:24.5
664,1023.610519,33.2,15:24.7,663,929.9752228,33.15,15:24.6
666,1023.436644,33.3,15:24.8,665,932.284286,33.25,15:24.7
668,1023.756575,33.4,15:24.9,667,932.6181265,33.35,15:24.8
670,1023.520104,33.5,15:25.0,669,932.7294067,33.45,15:24.9
672,1023.582699,33.6,15:25.1,671,931.4079548,33.55,15:25.0
674,1023.596609,33.7,15:25.2,673,929.9891328,33.65,15:25.1
676,1023.568789,33.8,15:25.3,675,930.5177135,33.75,15:25.2
678,1023.499239,33.9,15:25.4,677,930.2325581,33.85,15:25.3
680,1023.610519,34,15:25.5,679,930.4620735,33.95,15:25.4
682,1023.93045,34.1,15:25.6,681,930.9697892,34.05,15:25.5
684,1023.687025,34.2,15:25.7,683,931.4496849,34.15,15:25.6
686,1023.88872,34.3,15:25.8,685,931.6444251,34.25,15:25.7
688,1023.867855,34.4,15:25.9,687,931.560965,34.35,15:25.8
690,1023.90263,34.5,15:26.0,689,931.6861552,34.45,15:25.9
692,1023.951315,34.6,15:26.1,691,933.3344925,34.55,15:26.0
694,1023.94436,34.7,15:26.2,693,931.547055,34.65,15:26.1
696,1023.98609,34.8,15:26.3,695,930.6359487,34.75,15:26.2
698,1023.506194,34.9,15:26.4,697,930.837644,34.85,15:26.3
700,1023.325364,35,15:26.5,699,930.5803086,34.95,15:26.4
702,1023.77744,35.1,15:26.6,701,929.5857422,35.05,15:26.5
704,1023.714845,35.2,15:26.7,703,931.3731797,35.15,15:26.6
706,1023.471419,35.3,15:26.8,705,931.7835253,35.25,15:26.7
708,1023.68007,35.4,15:26.9,707,933.007607,35.35,15:26.8
710,1023.826125,35.5,15:27.0,709,930.9558792,35.45,15:26.9
712,1023.603564,35.6,15:27.1,711,930.5803086,35.55,15:27.0
714,1023.728755,35.7,15:27.2,713,929.9404477,35.65,15:27.1
716,1023.415779,35.8,15:27.3,715,930.6429037,35.75,15:27.2
718,1023.589654,35.9,15:27.4,717,930.5107585,35.85,15:27.3
720,1023.520104,36,15:27.5,719,928.1043251,35.95,15:27.4
722,1023.374049,36.1,15:27.6,721,930.0239078,36.05,15:27.5
724,1023.381004,36.2,15:27.7,723,927.311454,36.15,15:27.6
726,1023.353184,36.3,15:27.8,725,928.4033906,36.25,15:27.7
728,1023.311454,36.4,15:27.9,727,927.7287546,36.35,15:27.8
730,1023.534014,36.5,15:28.0,729,927.8122147,36.45,15:27.9
732,1023.527059,36.6,15:28.1,731,927.9304499,36.55,15:28.0
734,1023.624429,36.7,15:28.2,733,927.4088242,36.65,15:28.1
736,1023.193219,36.8,15:28.3,735,927.6661595,36.75,15:28.2
738,1023.770485,36.9,15:28.4,737,929.9613128,36.85,15:28.3
740,1023.589654,37,15:28.5,739,928.3547055,36.95,15:28.4
742,1023.596609,37.1,15:28.6,741,928.5355358,37.05,15:28.5
744,1023.318409,37.2,15:28.7,743,928.723321,37.15,15:28.6
746,1023.70789,37.3,15:28.8,745,928.8554662,37.25,15:28.7
748,1023.241904,37.4,15:28.9,747,929.9752228,37.35,15:28.8
750,1023.401869,37.5,15:29.0,749,929.2379917,37.45,15:28.9
752,1023.061074,37.6,15:29.1,751,930.2395131,37.55,15:29.0
754,1023.387959,37.7,15:29.2,753,929.8569876,37.65,15:29.1
756,1023.596609,37.8,15:29.3,755,929.0432515,37.75,15:29.2
758,1023.513149,37.9,15:29.4,757,930.6081287,37.85,15:29.3
760,1023.65225,38,15:29.5,759,930.0099978,37.95,15:29.4
762,1023.554879,38.1,15:29.6,761,932.0895458,38.05,15:29.5
764,1023.318409,38.2,15:29.7,763,932.951967,38.15,15:29.6
766,1023.596609,38.3,15:29.8,765,929.7804825,38.25,15:29.7
768,1023.408824,38.4,15:29.9,767,930.2186481,38.35,15:29.8
